"Getty URI","Artist Name","ULAN Bio","ULAN Scope Note","Also Known As","Type of Artist"
"http://vocab.getty.edu/ulan/500025721","""Diebenkorn, Richard""","American painter, 1922-1993",,"Richard Diebenkorn|Diebenkorn, Richard, Jr.|Richard Diebenkorn, Jr.|Diebenkorn, Richard Clifford, Jr.","artists|painters"
"http://vocab.getty.edu/ulan/500002172","""Gorman, Richard""","American painter, active from 1963",,"Richard Gorman|Gorman, Richard C.|Richard C. Gorman","artists|painters"
"http://vocab.getty.edu/ulan/500288981","""Jackson, Richard""","American physician, born 1945","Author of Urban Sprawl and Public Health (2004).","Richard Jackson|Jackson, Richard Joseph","authors|physicians"
"http://vocab.getty.edu/ulan/500276267","""Jackson, Richard""","British architect, 1703-1751",,"Richard Jackson","architects"
"http://vocab.getty.edu/ulan/500002824","""Jackson, Richard""","American painter, born 1939",,"Richard Jackson","artists|painters"
"http://vocab.getty.edu/ulan/500007265","""Arneson, Robert""","American ceramicist and sculptor, 1930-1992",,"Arneson, Robert Carston|Robert Carston Arneson|Robert Arneson","ceramicists|artists|sculptors"
"http://vocab.getty.edu/ulan/500060118","""Breer, Robert""","American painter, sculptor, and filmmaker, 1926-2011","Son of an inventor and automotive engineer, Breer is known for experimentation with a range of film and animation techniques. Breer was drawn to film through painting in the early 1950s while living in Paris. His interest in geometric abstraction is evident in his first films, which explored the role of movement in the understanding of form and space. He also created kinetic sculptures, which he called 'floats' in two separate periods of his career.","Robert Breer|Breer, Robert C.|Breer, Robert Carlton","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500107007","""Cumming, Robert""","American photographer, born 1943",,"Robert Cumming|Cumming, Robert H.|Cumming, R.|Ḳaming, Roberṭ","teachers|artists|conceptual artists|photographers"
"http://vocab.getty.edu/ulan/500056055","""Hudson, Robert""","American sculptor, born 1938",,"Robert Hudson|Hudson, Robert H.|Robert H. Hudson","artists|sculptors"
"http://vocab.getty.edu/ulan/500029634","""Hudson, Robert""","British painter, died 1884",,"Robert Hudson|Hudson, Robert, II|Hudson, Robert II|Robert II Hudson","artists|painters"
"http://vocab.getty.edu/ulan/500126162","""Johnson, Robert""","British artist, active from 1927",,"Robert Johnson","artists"
"http://vocab.getty.edu/ulan/500126020","""Johnson, Robert""","Australian painter, 1890-1964",,"Robert Johnson|Johnson, Robert, II|Johnson, Robert II|Robert II Johnson","artists|painters"
"http://vocab.getty.edu/ulan/500010516","""Johnson, Robert""","English watercolorist and engraver, 1770-1796",,"Robert Johnson|Johnson, Robert I|Robert I Johnson","engravers|artists|painters"
"http://vocab.getty.edu/ulan/500098915","""Johnson, Robert""","American architect, author, and professor, born 1946",,"Robert Ernest Johnson|Johnson, Robert E.|Johnson, Robert","authors|architects|professors"
"http://vocab.getty.edu/ulan/500061775","""Kinmont, Robert""","American sculptor and photographer, born 1937",,"Robert Kinmont|Kinmont, Bob|Bob Kinmont","artists|photographers|sculptors"
"http://vocab.getty.edu/ulan/500090430","""Mapplethorpe, Robert""","American photographer, sculptor, and collagist, 1946-1989","Mapplethorpe studied painting at the Pratt Institute in Brooklyn, where he met singer/poet Patti Smith in 1968, whom he later photographed for her album covers. His initial interest in photography took the form of collages from photographs he found, but in 1972 he began to take pictures with a Polaroid camera. His images are classical and formal in appearance, his favorites subjects being male nudes, flowers, and still lifes. His homoerotic images became the subject of a much publicized obscenity charge in 1990 involving the Cincinnati Art Museum. Mapplethorpe also did a series of self-portraits toward the end of his life, documenting his deteriorating health from AIDS.","Robert Mapplethorpe|Mapplethorpe, Bob|Maplethorpe, Robert","artists|collagists|multimedia artists|photographers|sculptors"
"http://vocab.getty.edu/ulan/500047426","""Watts, Robert""","American painter and sculptor, 1923-1988",,"Robert Watts|Watts, Bob|Bob Watts","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500105549","""Linden, Ron""","American painter, born 1940",,"Ron Linden","artists|painters"
"http://vocab.getty.edu/ulan/500010639","""Peale, Rubens""","American painter and museum manager, 1784-1865",,"Rubens Peale","animal artists|managers|artists|landscapists|painters"
"http://vocab.getty.edu/ulan/500061992","""Garcia, Rupert""","American painter, draftsman, and graphic artist, born 1941",,"Rupert Garcia","journalists|artists|art historians|graphic artists|illustrators|painters|poster artists"
"http://vocab.getty.edu/ulan/500017900","""Armer, Ruth""","American painter, 1896-1977",,"Ruth Armer","artists|painters"
"http://vocab.getty.edu/ulan/500115537","""Francis, Sam""","American painter, 1923-1994",,"Sam Francis|Francis, Samuel Lewis","artists|lithographers|muralists|painters|sculptors"
"http://vocab.getty.edu/ulan/500072950","""Richardson, Sam""","American painter and sculptor, born 1934",,"Sam Richardson","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500056759","""Charlesworth, Sarah""","American conceptual artist and photographer, 1947-2013","Considered a member of the ""Pictures Generation,"" Charlesworth was a Guggenheim fellow and a recipient of two NEA grants. She taught at Princeton, the Rhode Island School of Design, and the School of Visual Arts in New York.","Sarah Charlesworth","artists|conceptual artists|photographers"
"http://vocab.getty.edu/ulan/500379428","""Leek, Saskia""","artist, active 20th century",,"Saskia Leek","artists"
"http://vocab.getty.edu/ulan/500030413","""Roesen, Severin""","German-American painter, 1816-ca. 1872","American painter of German birth. Originally an enamel and porcelain decorator in Cologne; he settled in New York in 1848. Roesen popularized German still-life conventions that were themselves partly derived from 17th-century Dutch traditions. Date of birth is recorded in the city register of Boppard am Rhein, Germany, as 5 February 1816.","Severin Roesen|Rösen, Severin|Roesen, Severus|Severin Rösen","artists|porcelain painters|painters|still life artists"
"http://vocab.getty.edu/ulan/500020843","""Armajani, Siah""","Iranian architect and artist, born 1939, active in the United States","Iranian architect, b. in Teheran, emigrated to U.S. in 1960; practices in Minneapolis, Minn.","Armajani, Siah|Siah Armajani|Siah Armajani","architects|artists|sculptors"
"http://vocab.getty.edu/ulan/500336504","""Davis, Stephen A.""","American painter, born 1945",,"Stephen A. Davis","artists|painters"
"http://vocab.getty.edu/ulan/500102086","""Laub, Stephen""","American sculptor, born 1945",,"Stephen Laub","artists|sculptors"
"http://vocab.getty.edu/ulan/500118057","""King, Susan""","American book artist, born 1947",,"Susan Elizabeth King|King, Susan E.|King, Susan|Susan King","artists|book artists"
"http://vocab.getty.edu/ulan/500097477","""Whyne, Susan""","American painter, born 1946",,"Susan Whyne","artists|painters"
"http://vocab.getty.edu/ulan/500063852","""Fox, Terry""","American video artist, installation artist, and sculptor, born 1943-2008",,"Terry Fox|Fox, Terry Alan|Terry Alan Fox","artists|conceptual artists|installation artists|mixed-media artists|performance artists|sculptors|video artists"
"http://vocab.getty.edu/ulan/500073486","""Cha, Theresa Hak Kyung""","Korean performance artist and writer, 1951-1982, active in the United States","Experimental novelist and performance artist based in New York City was murdered in 1982 just before the release of her novel ""Dictée.""","Theresa Hak Kyung Cha|Hak Kyung Cha, Theresa|Cha, Theresa|Theresa","artists|miscellaneous|performance artists"
"http://vocab.getty.edu/ulan/500032786","""Holland, Tom""","American painter and sculptor, born 1936",,"Tom Holland","artists|painters|sculptors"
"http://vocab.getty.edu/ulan/500100508","""Wong, Tony""","American painter, born 1948",,"Tony Wong","artists|painters"
"http://vocab.getty.edu/ulan/500332241","""Miller, Tracy""","American painter, born 1966",,"Tracy Miller","artists|painters"
"http://vocab.getty.edu/ulan/500073346","""Schneider, Ursula""","Swiss artist, born 1943",,"Ursula Schneider","artists"
"http://vocab.getty.edu/ulan/500017190","""Dubreuil, Victor""","American painter, active 1886-1900",,"Victor Dubreuil","artists|painters"
"http://vocab.getty.edu/ulan/500128952","""Jepson, Warner""","American video artist, born 1930",,"Warner Jepson","artists|video artists"
"http://vocab.getty.edu/ulan/500010185","""Thiebaud, Wayne""","American painter, born 1920",,"Wayne Thiebaud|Thiebaud, Morton Wayne|Morton Wayne Thiebaud","artists|painters"
"http://vocab.getty.edu/ulan/500353439","""Sasnal, Wilhelm""","Polish painter and video artist, born 1972","Sasnal studied painting at the Academy of Fine Arts in Krakow. He paints a variety of subjects, including portraits, landscapes, and abstract works. His work is noted for the apparent indifference with which he treats his subjects.","Wilhelm Sasnal","artists|painters|video artists"
"http://vocab.getty.edu/ulan/500360241","""Allan, William""","British military officer, 1832-1918",,"Allan, William|William Allan|Maj. Gen. William Allan|Allan, Major General|Allan, William, Col.","military officers|owners"
"http://vocab.getty.edu/ulan/500028676","""Allan, William""","Scottish painter, 1782-1850",,"William Allan|Allan of Edinbro'|William Allan, A. R. A.|Allan, Sir William|Allen, William|Allan, Sir","artists|painters"
"http://vocab.getty.edu/ulan/500070935","""Allan, William""","American painter, born 1936",,"Allan, William George|William George Allan|William Allan","artists|painters"
"http://vocab.getty.edu/ulan/500062624","""Geis, William""","American sculptor, born 1940",,"William Geis|Geis, William, III|Geis, William R.|Geis, William R., III","artists|sculptors"
"http://vocab.getty.edu/ulan/500029089","""Yates, William Henry""","American painter, 1845-1934",,"William Henry Yates","artists|painters"
"http://vocab.getty.edu/ulan/500018777","""Davis, William M.""","American painter, 1829-1920",,"William M. Davis","artists|painters"
"http://vocab.getty.edu/ulan/500333209","""McKeown, William""","Irish painter, 1962-2011",,"William McKeown","artists|painters"
"http://vocab.getty.edu/ulan/500032464","""Harnett, William Michael""","American painter, 1848-1892",,"William Michael Harnett|Harnett, William M.|Harnett, William","artists|genre artists|painters"
"http://vocab.getty.edu/ulan/500022350","""Wiley, William T.""","American painter, born 1937",,"William T. Wiley|William. T. Wiley|Wiley, William. T.|Wiley, Wm. T.","artists|painters"
"http://vocab.getty.edu/ulan/500332009","""Wareham, William""","American sculptor, born 1941",,"William Wareham","artists|sculptors"
"http://vocab.getty.edu/ulan/500118696","""Wegman, William""","American photographer and painter, born 1943","Wegman is best known for his photographs of dogs, particularly Weimaraners that he owns; he also makes paintings, and is noted for a series of video works he made in the early 1970s.","William Wegman|Wegman, Bill","artists|conceptual artists|painters|photographers|sculptors|video artists"
"http://vocab.getty.edu/ulan/500125592","""Bing, Xu""","Chinese installation artist, born 1955",,"Xu, Bing|Hsü Ping|Bing, Xu|Bing Xu","artists|installation artists|sculptors"
